,original_index,context,labels,prompts,gold,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xxl,q_flan-ul2,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-003,q_chatgpt
105,258,New Study Effectively Eliminates Confidence In Human Attribution For Modern 'Global Warming'  'Uncertainty about 80 times greater than anthropogenic signal detection',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,a,a,b,b,b,a,a,b
106,3,Obama criticizes Americans for liking 'cheap gas and big cars' more than 'the environment'  Only way to prevent oil spills 'was to stop drilling entirely',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,b
107,2023,"Persimmon kills coronavirus, according to the study by Japanese scientists.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,a,a,b,a,b
108,224,General Motors abandons Trump in lawsuit fighting California on its own climate rules and vows to work on crisis with Biden,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,b,a,b,b
109,103,Biden-linked team rolls out climate plan  Seeks to 'create a new National Climate Council',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,a,a,b,b
110,136,Chemical injected in town's drinking water called 'an environmental injustice',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,a,b,a,b
111,1952,"WHO has taken a U-turn and now says that Coronavirus-infected patients neither need to be isolated, nor quarantined, nor needs social distancing. It further claims that the infected people cannot even transmit virus from one patient to another",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,a,a,a,a
112,256,Trump Officially Leaves Paris Agreement After Years of Environmental Wreckage,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,a,b,b,b,a,b
113,1933,"WHO and ICMR have issued a warning. It claims that WHO and ICMR warn that India is all set to enter the third stage transmission of the coronavirus and if left unchecked, the total death count by the coronavirus outbreak in India could reach the number of 50,000 by March.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,a,b,a,b
114,401,New Zealand's Jacinda Arden declares 'climate emergency' after conquering COVID-19,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,a,b,a,a,b,b
115,1780,The laboratory in Wuhan is owned by Glaxo,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,a,b,a,b,a,b
116,1401,Event 201 shows that the pandemic was planned,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,a,b,a,a,a,a
117,1655,Kamala Harris vaccination against COVID-19 was staged,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
118,1537,Italy has opened 'concentration camps' to 'confine children plagued by the virus',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,b,a,a
119,128,White House is a 'toxic' environment now as Trump staffers plot their exits,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,b,b,b,a,a,b
120,1165,"Politician Markus Sder faked his vaccination, there was a cap on the needle",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
121,2078,Vaccine volunteers are not being told they are part of a clinical trial,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,a
122,69,Scott Morrison's climate language has shifted  but actions speak louder than words,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,b,a,a,b
123,1609,A man blowing vape smoke through various face masks shows that they do not help prevent the spread of coronavirus,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
124,1838,Bill Gates aims to reduce the world population with vaccines,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,a,a,b,b,a,a,a
125,1950,The article in the journal proves that the COVID-19 pandemic was planned two years ago.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,a,b,a,a,a,a
126,203,NPR Reverts to State-Run Radio with Socialist Softballs for Climate Czar John Kerry,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
127,195,We Need Climate Leaders in Biden's Administration,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,b,a,b,b
128,2099,The COVID-19 vaccine could produce sterility and mass extermination,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
129,1959,"World Health Organization used so-called Drosten tests as a basis for infection-indicators and announced pandemic right afterward. In reality, Drosten tests do not work and it shows false-positive results proof of which is Tanzanian president who tested Drosten tests on a goat, papaya, and engine oil and got positive test results.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
130,2110,An Indian politician is celebrating Diwali with lit sparklers and flouting coronavirus restrictions in November 2020.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,b
131,2101,South Korea's Seoul Metropolitan Government has banned churches from displaying and using Bibles during their services.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,b,b,a,b
132,1423,"A German law proves that the measures to fight Covid-19 in Germany will last until December 31, 2021.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,b,b,b,b
133,1895,Study shows 80% of the alcohol gel sold in Brazil is not effective against Sars-Cov-2,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,a,b,a,b
134,1657,This Chinese study proves asymptomatic are not contagious,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,a,b,a,a,a,b
135,34,German MP suggests restrictions 'similar' to Covid-19 lockdowns to fight 'climate change'  Warns 'there will never be a vaccine against CO2',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,b
136,1922,The purpose of quarantine is to destroy small and medium-sized businesses.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
137,1773,Anthony Faucci was not vaccinated,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,a,a,a,a
138,1755,Allergy pills work against COVID-19 and reduce its transmission,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,a,b,a,b,a,a
139,1490,"Google translation of ""surivan or oc"" (coronavirus written backwards) results in Google search result of ""Masonic sign"" pyramid and eye",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,a
140,1788,"Georgians will be used as ""test rats"" of dubious quality vaccine, which explains the fact that Georgia is going to be the first country to be given a new vaccine.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
141,371,Fauci: 'We have entered the Pandemic Era' because of Climate Change,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,a,a,a,a
142,1215,The Wuhan Virology Laboratory has a link with GSK and Pfizer,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,a,b,a,b
143,1767,Italian scientists tested kiwis with the Covid-19 test and the test was positive.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,a,b,a,b,a,b,a,b
144,1764,Study published in Nature shows that asymptomatic people do not transmit COVID,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,a,a,a,b
145,1447,"Colombian Defense Minister Carlos Holmes Trujillo, who died of COVID-19, was infected at a party.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,a,b,a,b,a,b
146,1413,53 people have died in Gibraltar after receiving the vaccine against COVID-19,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,a,a,b,b,a,a,a
147,1785,Vitamin D insufficiency may account for the majority of COVID-19 deaths,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,b,a,a,b
148,2097,The World Health Organization (WHO) has designated the Russian Covid-19 vaccine as the official inoculation against the coronavirus.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,a,b,b,b
149,308,Climate change protester climbed up Big Ben wearing Boris Johnson wig and green leotard,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,b
150,48,"Associated Press: Five years on, signs that Paris climate accord is working: CO2 emissions 'barely rose globally from 2018 to 2019, then dropped 7% this year because of the pandemic, although it'll likely rise again'",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,b,b,b,b
151,1229,Chlorine dioxide is an alternative to vaccination against COVID-19,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,a,a,b,b,a,a,a
152,1492,"Atlanta baseball legend Hank Aaron's death linked to his Moderna Covid-19 vaccination,",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,b,a,a,a
153,286,"Merkel: US, Germany must stand together on climate change",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,a,a,b,b
154,1816,"Vaccines cause autism, while Remdesivir causes death",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,a
155,2010,Japanese scientists concluded that face shields and masks are pointless,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,a,b,a,a,a,a
156,1897,"This ""documentary"" ""Hold-Up"" says it unveils secrets and lies about covid",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
157,1576,Colombian doctor Manuel Elkin Patarroyo says that the immunity produced by vaccines against COVID-19 is short-lived.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,a,b,b,a,a,b
158,1508,Chlorine dioxide is non-toxic,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,a,a,b,a,a,a,b
159,116,Biden's Climate Cabinet Picks Show Power of People-Led Movements,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,a,a,b,b
160,1681,A new test by Biomrieux will be able to distinguish between SARS-CoV-2 and influenza virus  so this wasn't possible before,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,a,b,b,b
161,41,Can polar bears survive the climate crisis?,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,b,b,a,a,a,b
162,366,Biden Would Make Combating Climate Change an 'All-of-Government Agenda',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,a,a,b,b
163,273,"Biden announcing COVID task force  Claims voters have 'given us a mandate for action on COVID, the economy, climate change, systemic racism'",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,b,b,b,a,b,b
164,1831,"A court in Dsseldorf, Germany has just approved a ban on the use of masks in schools and at work",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,b,b,b,b
165,229,"Ancient society adapted & flourished in face of climate change, archaeologists discover",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,a,b,b,b
166,1516,Guava leaf may cure or prevent COVID-19,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,a,b,a,a,a,a
167,1214,A paramedic reports 40 injured and 7 severely injured people at the Coronavirus demonstration in Berlin on November 18th,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,a,b,a,a,b,b
168,13,"Online shopping: Great for bargains, terrible for the environment",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,b,b,b,b,a,b
169,317,"Biden pledges in his speech to combat coronavirus, racism, climate change",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,a,a,b,b
170,202,What would it mean for museums to actively shape radical climate action?,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,a,a,a,b
171,209,Paris Agreement anniversary: What needs to happen in the next five years to tackle the climate crisis?,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,b,a,a,b
172,54,Global leaders  except for Trump  move on from pandemic to confront 'climate emergency',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,a,a,b,b
173,359,False Religion: Congress' Christmas Tree Bill Loaded with Climate Ornaments,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,b
174,1136,People who've previously been infected with COVID-19 shouldn't take vaccine,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,b,a,a,a
175,1774,Pandemic is a fraud and RT-PCR tests aren't trustworthy,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,a
176,301,Climate Anxiety: Navigating Our Emotions as the Planet Changes,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,a,a,b,b
177,1914,"Covid-19 is a scam, throw away your masks. The ""big awakeining"" is happening in the world",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
178,162,This is what's really needed in a plan to battle the climate crisis,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,b,a,b,b
179,240,How Joe Biden and John Kerry could rebuild America's global climate leadership,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,b,b,b,b
180,364,"Firefighters on 'frontlines of climate crisis' without enough support, warns union chief",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,b,b,b,b
181,1826,AstraZeneca/Oxford Covid-19 vaccine contains MRC-5 cells originally taken from an aborted human foetus.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,a,a,a,a,b,a,b
182,141,RICH LOWRY: Joe Biden's climate agenda is all about creating a crisis  not actually fixing one.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,b
183,1865,CoronaVac vaccine is not safe and was not tested in the elderly,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,a
184,2007,"The university of virologist Christian Drosten lied about his doctoral thesis. His degree is not valid because there was no ""Revisionsschein""",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,b
185,1839,Mouthwash kills coronavirus in 30 seconds,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,a,b,b,b,a,b
186,1562,All vaccines contain nagalase enzyme. This enzyme causes depopolation.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,a
187,107,"Biden introduces his climate team  Touts 'more people of color in our Cabinet than any Cabinet ever, more women than ever'",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,a,b,b,b,a,b,a,b
188,1182,"Rinsing your mouth with cold salt water, drinking water and red wine, taking vitamin C, and eating chicken broth will prevent Covid-19 from advancing.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,a,a,a,b,b,b,a,a
189,222,The 2020 US elections: A climate for change?,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,b,a,b,b
190,16,"Finally': In potential nod to Biden win, Federal Reserve applies to join climate network for central banks",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,b,a,b,b
191,1659,The new strain of coronavirus was announced by Boris Johnson. Scientists have not made any statement on the issue.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,b
192,1818,Train passengers breached social distancing guidelines following the resumption of local railway services.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,a,b,a,b
193,2066,Healthcare professionals offered home remedies for people who do not want to risk going to the hospital immediately,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,a,b,a,b
194,2084,These tests on apple sauce and Coke show antigenic tests are useless,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,b
195,2073,"As a lockdown measure, Ukraine will close all borders for the New Year and Christmas period.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,a,b,a,b,a,b,b,b
196,226,"Degrowth: Economic growth is bad for the climate, Europe's Science Academies claim  Seek replacing with 'indicators of human well-being'",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,a,a,a,b
197,2077,"German minister for health, Jens Spahn, said that you can expect a fine of 25.000 euros when you don't get the mandatory vaccine",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,b
198,1578,"Csar Tralli was caught rollerskating on Leblon beach, Rio de Janeiro, without masks",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,b,b,a,b
199,362,Jacinda Ardern defends environment policies after Greta Thunberg criticises New Zealand's 'so-called climate emergency declaration',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,b,a,a,b
200,2120,"In Ukraine, the first person fell ill with COVID-19 in December, and quarantine was introduced only in March.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,a,a,a,b,a,b,a,b
201,1841,Moderna's vaccine is 100% effective.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,a,b,a,b,a,b
202,1800,"Coronavirus was detected in coca-cola in Austria, i.e., tests are incorrect.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,a
203,2056,"In a voice message a woman claims in pharmacies they sell Covid tests with preset outcomes because there are boxes with inscriptions ""positiv"" and ""negative"" on them",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
204,1515,Only South Koreans have Covid-19 antibodies,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,a
205,1594,Prof. Dr. Ates Kara told that transmission via bread is possible,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,a,a,b,b,b,a,b
206,1233,So Paulo government spent R$ 22 billion with CoronaVac to immunize the population of the state,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,a,b,b,b
207,1768,"The picture shows the Mayor of London  Sadiq Aman Khan, being vaccinated in front of a camera  with an unopened needle cap and a white shirt.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,b,b,b,b
208,1472,A man vaccinated with Pfizer's COVID-19 vaccine showed symptoms of Ebola as he bled out all over his body and died.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,a,a,b,a,a,a,a
209,219,"Councils reporting thousands of 'climate-related' incidents, including flooding",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,b,b,b,b,b,b
210,1921,Bill Gates refuses to vaccinate his own children.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,a,a,b,b,a,a,b
211,67,Flashback 2014: 'Why Secretary of State John Kerry Is Flat Wrong on Climate Change',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
212,1708,"To prevent COVID, for the first three days with symptoms, people should take azithromycin and ivermectin.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,a,b,a,a,a,b,a,a
